"103 -- 3. Puolueiden kannatus eduskuntavaaleissa 2019"

"Äänestysalue";"Yhteensä Osuus äänistä % Kaikki ehdokkaat";"SDP Osuus äänistä % Kaikki ehdokkaat";"PS Osuus äänistä % Kaikki ehdokkaat";"KOK Osuus äänistä % Kaikki ehdokkaat";"KESK Osuus äänistä % Kaikki ehdokkaat";"VIHR Osuus äänistä % Kaikki ehdokkaat";"VAS Osuus äänistä % Kaikki ehdokkaat";"RKP Osuus äänistä % Kaikki ehdokkaat";"KD Osuus äänistä % Kaikki ehdokkaat";"SIN Osuus äänistä % Kaikki ehdokkaat";"Piraattip. Osuus äänistä % Kaikki ehdokkaat";"STL Osuus äänistä % Kaikki ehdokkaat";"KP Osuus äänistä % Kaikki ehdokkaat";"FP Osuus äänistä % Kaikki ehdokkaat";"LIBE Osuus äänistä % Kaikki ehdokkaat";"SKP Osuus äänistä % Kaikki ehdokkaat";"EOP Osuus äänistä % Kaikki ehdokkaat";"IP Osuus äänistä % Kaikki ehdokkaat";"SKE Osuus äänistä % Kaikki ehdokkaat";"KTP Osuus äänistä % Kaikki ehdokkaat";"Muut Osuus äänistä % Kaikki ehdokkaat"
"Koko maa";100.0;17.7;17.5;17.0;13.8;11.5;8.2;4.5;3.9;1.0;0.6;0.4;0.2;0.2;0.2;0.1;0.1;0.1;0.1;0.0;2.9
"01 Helsingin vaalipiiri";100.0;13.6;12.3;21.8;2.9;23.5;11.1;5.3;1.9;0.5;1.5;0.3;0.0;0.9;0.3;0.2;0.2;0.1;0.1;0.0;3.5
"091 Helsinki";100.0;13.6;12.3;21.8;2.9;23.5;11.1;5.3;1.9;0.5;1.5;0.3;0.0;0.9;0.3;0.2;0.2;0.1;0.1;0.0;3.5
"02 Uudenmaan vaalipiiri";100.0;17.8;15.9;20.9;6.5;13.5;4.8;9.1;2.7;1.7;0.7;0.5;0.0;0.2;0.3;0.2;0.2;0.1;0.2;0.1;4.6
"018 Askola";100.0;18.5;23.7;11.4;23.2;6.4;4.2;2.4;2.4;1.6;0.6;0.5;0.1;0.0;0.2;0.3;0.2;0.2;0.1;0.0;4.1
"049 Espoo";100.0;13.0;11.5;31.0;4.0;18.0;3.5;7.7;2.7;1.7;1.0;0.4;0.0;0.2;0.5;0.2;0.2;0.1;0.1;0.0;4.1
"078 Hanko";100.0;28.7;11.4;6.2;1.9;5.5;7.9;30.0;2.2;0.9;0.6;0.7;0.2;0.1;0.2;0.5;0.2;0.1;0.1;0.1;2.5
"092 Vantaa";100.0;21.4;18.3;18.8;5.0;14.5;5.9;2.8;3.0;1.8;1.0;0.6;0.1;0.2;0.3;0.3;0.2;0.2;0.2;0.0;5.4
"106 Hyvinkää";100.0;21.8;24.0;16.8;7.4;11.2;5.5;1.0;3.3;1.7;0.7;0.5;0.0;0.2;0.2;0.3;0.2;0.1;0.2;0.0;4.9
"149 Inkoo";100.0;10.9;8.1;8.4;2.0;7.2;2.8;54.0;1.5;1.2;0.2;0.4;0.0;0.2;0.2;0.2;0.1;0.0;0.1;0.0;2.5
"186 Järvenpää";100.0;21.9;18.4;17.7;8.1;13.2;5.7;1.2;3.5;1.6;0.6;0.6;0.0;0.2;0.2;0.3;0.1;0.2;0.2;0.0;6.0
"224 Karkkila";100.0;25.8;19.7;11.1;9.1;9.2;13.4;1.1;2.4;1.3;0.4;0.8;0.0;0.2;0.3;0.3;0.1;0.2;0.1;0.4;4.1
"235 Kauniainen";100.0;5.0;6.4;32.0;2.4;10.6;1.7;34.7;2.2;1.2;0.6;0.3;0.0;0.2;0.2;0.1;0.2;0.1;0.0;0.0;2.2
"245 Kerava";100.0;19.8;19.0;19.3;6.8;12.9;8.6;1.5;3.2;1.9;0.8;0.5;0.1;0.2;0.3;0.2;0.2;0.1;0.2;0.0;4.5
"257 Kirkkonummi";100.0;14.2;13.6;20.5;4.0;13.3;3.6;20.0;2.2;2.1;0.7;0.4;0.0;0.1;0.2;0.2;0.2;0.1;0.1;0.0;4.5
"407 Lapinjärvi";100.0;11.7;12.4;7.7;20.3;6.1;2.8;30.2;1.8;1.0;0.5;0.3;0.1;0.1;0.1;0.6;0.4;0.1;0.2;0.1;3.5
"434 Loviisa";100.0;19.4;11.9;6.5;4.3;6.6;3.3;39.4;2.0;1.6;0.6;0.3;0.0;0.1;0.1;0.2;0.2;0.1;0.1;0.1;3.0
"444 Lohja";100.0;23.5;21.3;14.6;8.3;11.4;7.0;2.9;3.1;1.6;0.4;0.8;0.0;0.2;0.2;0.2;0.2;0.1;0.2;0.1;4.0
"504 Myrskylä";100.0;12.3;20.3;9.4;33.5;5.1;3.2;8.0;2.7;1.0;0.1;0.7;0.0;0.1;0.2;0.2;0.2;0.2;0.2;0.1;2.4
"505 Mäntsälä";100.0;21.1;23.4;16.3;14.7;7.8;3.9;1.1;2.9;1.9;0.4;0.8;0.1;0.1;0.2;0.2;0.2;0.2;0.1;0.0;4.6
"543 Nurmijärvi";100.0;15.3;20.0;19.4;14.6;11.2;4.0;1.3;2.7;3.2;0.4;0.5;0.1;0.1;0.4;0.2;0.1;0.2;0.2;0.0;6.0
"611 Pornainen";100.0;17.4;24.2;14.8;17.2;9.1;3.4;1.9;2.0;1.8;0.7;0.4;0.0;0.1;0.3;0.1;0.2;0.1;0.1;0.0;5.8
"616 Pukkila";100.0;12.5;24.5;11.1;30.9;6.3;3.6;0.9;1.9;1.3;0.3;1.0;0.0;0.3;0.3;0.2;0.3;0.3;0.1;0.0;4.0
"638 Porvoo";100.0;18.7;12.1;12.1;6.2;10.6;4.6;25.7;2.3;1.2;0.5;0.3;0.0;0.2;0.2;0.2;0.3;0.2;0.1;0.1;4.2
"710 Raasepori";100.0;26.1;5.8;4.7;1.6;5.7;4.5;46.0;1.0;0.6;0.4;0.3;0.0;0.2;0.1;0.1;0.1;0.1;0.1;0.3;2.3
"753 Sipoo";100.0;10.8;12.6;23.8;4.1;9.8;2.9;25.3;2.3;1.2;0.6;0.3;0.0;0.2;0.2;0.2;0.1;0.2;0.1;0.0;5.3
"755 Siuntio";100.0;15.8;16.2;13.5;4.4;10.3;3.6;27.1;1.6;1.8;0.5;0.5;0.0;0.0;0.3;0.3;0.1;0.1;0.0;0.0;3.9
"858 Tuusula";100.0;16.5;21.0;20.4;12.3;11.3;4.8;1.7;2.6;2.0;0.5;0.6;0.1;0.1;0.3;0.2;0.2;0.1;0.2;0.0;5.3
"927 Vihti";100.0;18.1;20.1;17.1;14.9;10.1;4.8;2.4;3.4;1.6;0.4;0.6;0.0;0.1;0.3;0.2;0.2;0.1;0.2;0.0;5.4
"03 Varsinais-Suomen vaalipiiri";100.0;17.8;19.1;18.9;10.8;9.2;12.8;5.5;1.9;0.5;0.5;0.2;0.0;0.1;0.1;0.1;0.2;0.2;0.1;0.0;2.0
"019 Aura";100.0;17.9;27.3;16.4;17.3;3.6;10.7;0.6;2.4;0.3;0.2;0.1;0.0;0.0;0.2;0.1;0.1;0.2;0.1;0.1;2.5
"202 Kaarina";100.0;19.3;18.9;24.0;6.5;9.5;11.5;4.0;2.1;0.6;0.4;0.2;0.0;0.1;0.1;0.1;0.2;0.1;0.1;0.1;2.5
"284 Koski Tl";100.0;10.3;19.8;13.3;40.0;3.9;6.5;0.5;2.5;0.7;0.2;0.1;0.0;0.1;0.0;0.1;0.1;0.2;0.1;0.0;1.3
"304 Kustavi";100.0;13.9;16.8;31.5;18.2;6.1;8.6;1.4;1.3;0.3;0.2;0.2;0.0;0.0;0.5;0.0;0.2;0.0;0.0;0.0;0.8
"322 Kemiönsaari";100.0;14.2;5.9;4.5;5.1;2.9;13.1;51.6;0.5;0.6;0.2;0.2;0.0;0.0;0.1;0.1;0.2;0.0;0.1;0.0;1.0
"400 Laitila";100.0;14.9;25.5;16.0;24.9;3.1;6.0;0.7;2.2;0.5;0.0;0.3;0.0;0.0;0.0;0.1;0.3;3.9;0.0;0.0;1.5
"423 Lieto";100.0;16.7;22.5;21.1;13.4;8.5;9.9;1.4;2.1;0.7;0.3;0.1;0.0;0.0;0.2;0.1;0.2;0.1;0.1;0.0;2.5
"430 Loimaa";100.0;15.1;19.6;13.6;30.6;3.0;12.2;0.6;1.5;0.5;0.2;0.3;0.0;0.0;0.1;0.3;0.1;0.1;0.1;0.0;2.2
"445 Parainen";100.0;10.2;9.5;8.3;3.0;5.8;8.9;51.1;1.1;0.2;0.2;0.3;0.0;0.0;0.1;0.0;0.1;0.1;0.0;0.0;1.0
"480 Marttila";100.0;7.8;30.4;15.4;32.9;2.0;7.1;1.3;1.0;0.4;0.2;0.0;0.0;0.1;0.1;0.0;0.3;0.0;0.0;0.1;1.0
"481 Masku";100.0;16.7;27.5;20.8;12.0;6.0;9.6;1.3;1.9;0.6;0.2;0.2;0.0;0.0;0.1;0.1;0.2;0.1;0.1;0.0;2.5
"503 Mynämäki";100.0;14.7;25.1;12.9;25.4;3.9;11.9;0.9;1.9;0.7;0.2;0.0;0.0;0.0;0.2;0.1;0.2;0.2;0.0;0.0;1.5
"529 Naantali";100.0;16.6;21.8;30.8;8.2;7.3;8.9;1.8;1.4;0.5;0.2;0.1;0.0;0.0;0.0;0.1;0.1;0.1;0.1;0.0;1.9
"538 Nousiainen";100.0;14.8;28.8;14.9;19.3;4.0;10.9;0.9;1.8;1.4;0.3;0.4;0.0;0.0;0.1;0.0;0.1;0.3;0.1;0.0;1.9
"561 Oripää";100.0;12.2;20.5;11.3;38.7;2.5;10.4;1.0;0.8;0.1;0.1;0.4;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;1.8
"577 Paimio";100.0;19.5;18.8;19.8;16.8;6.2;11.1;1.2;2.8;0.6;0.4;0.1;0.0;0.0;0.2;0.1;0.2;0.0;0.0;0.0;2.1
"631 Pyhäranta";100.0;23.2;28.8;13.2;16.5;2.8;8.3;0.7;3.0;0.6;0.3;0.1;0.0;0.0;0.1;0.0;0.0;0.5;0.2;0.0;1.9
"636 Pöytyä";100.0;12.7;24.5;17.9;27.9;3.1;8.8;0.5;2.0;0.5;0.3;0.0;0.0;0.0;0.1;0.1;0.0;0.1;0.1;0.0;1.3
"680 Raisio";100.0;23.9;22.5;19.2;6.7;7.2;13.2;1.8;2.1;0.7;0.2;0.1;0.0;0.0;0.1;0.1;0.1;0.1;0.1;0.0;2.0
"704 Rusko";100.0;17.0;24.9;19.7;14.4;6.6;10.9;1.3;1.4;0.6;0.3;0.3;0.0;0.0;0.1;0.1;0.0;0.0;0.1;0.0;2.3
"734 Salo";100.0;22.9;23.2;16.7;13.8;5.9;9.0;1.2;3.0;0.4;0.3;0.2;0.0;0.0;0.1;0.0;0.2;0.1;0.1;0.1;2.8
"738 Sauvo";100.0;12.1;20.3;14.4;30.8;6.0;9.2;1.7;2.1;0.5;0.4;0.1;0.0;0.2;0.1;0.1;0.3;0.1;0.1;0.0;1.4
"761 Somero";100.0;15.0;22.3;8.3;40.1;2.6;7.0;0.4;1.5;0.4;0.1;0.3;0.0;0.0;0.1;0.1;0.1;0.0;0.1;0.0;1.6
"833 Taivassalo";100.0;12.4;26.7;19.8;25.3;2.7;7.8;1.0;1.4;0.5;0.0;0.0;0.0;0.0;0.0;0.1;0.1;0.2;0.0;0.0;1.8
"853 Turku";100.0;17.1;15.7;20.5;4.7;13.8;16.8;5.5;1.6;0.5;0.7;0.1;0.0;0.1;0.2;0.1;0.3;0.1;0.1;0.0;2.0
"895 Uusikaupunki";100.0;25.1;25.4;13.6;16.0;4.2;9.7;0.7;1.9;0.7;0.5;0.1;0.0;0.0;0.1;0.1;0.2;0.2;0.1;0.1;1.5
"918 Vehmaa";100.0;14.6;25.9;14.4;25.4;3.1;11.2;0.7;1.2;0.3;0.5;0.1;0.0;0.1;0.0;0.1;0.1;0.3;0.0;0.0;2.3
"04 Satakunnan vaalipiiri";100.0;25.2;24.1;14.1;16.7;6.0;10.0;0.1;2.7;0.0;0.2;0.2;0.0;0.1;0.0;0.1;0.0;0.0;0.0;0.1;0.4
"050 Eura";100.0;28.7;19.5;9.0;25.5;4.2;9.9;0.0;2.4;0.0;0.2;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.4
"051 Eurajoki";100.0;26.0;19.9;12.0;31.0;3.4;4.8;0.1;2.0;0.0;0.1;0.1;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.1;0.5
"079 Harjavalta";100.0;29.3;19.6;12.3;12.2;4.3;17.1;0.1;4.4;0.0;0.1;0.2;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.1;0.2
"099 Honkajoki";100.0;7.0;42.7;2.9;37.0;2.6;5.0;0.1;1.7;0.0;0.2;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.2;0.2
"102 Huittinen";100.0;13.0;27.7;8.7;38.2;3.3;5.9;0.1;2.4;0.0;0.2;0.2;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.1;0.2
"181 Jämijärvi";100.0;14.4;30.6;3.3;38.2;1.6;4.8;0.7;6.1;0.0;0.0;0.1;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.1
"214 Kankaanpää";100.0;20.0;38.8;7.0;22.7;2.7;5.2;0.0;2.9;0.0;0.0;0.2;0.0;0.1;0.0;0.1;0.0;0.0;0.0;0.1;0.1
"230 Karvia";100.0;11.7;37.5;5.8;38.4;1.3;2.2;0.3;2.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4
"271 Kokemäki";100.0;20.0;23.2;9.8;25.8;4.0;13.6;0.1;2.2;0.0;0.3;0.4;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.1;0.4
"484 Merikarvia";100.0;25.7;22.3;10.2;29.3;3.3;5.8;0.1;2.3;0.0;0.2;0.1;0.0;0.1;0.0;0.1;0.0;0.0;0.0;0.3;0.4
"531 Nakkila";100.0;17.4;23.5;11.5;19.5;4.3;19.1;0.4;3.2;0.0;0.2;0.3;0.0;0.1;0.0;0.1;0.0;0.0;0.0;0.0;0.3
"608 Pomarkku";100.0;19.3;30.7;9.6;26.4;2.0;6.9;0.2;4.1;0.0;0.1;0.2;0.0;0.1;0.0;0.2;0.0;0.0;0.0;0.1;0.3
"609 Pori";100.0;23.8;24.6;17.2;9.4;8.3;12.6;0.2;2.7;0.0;0.3;0.1;0.0;0.1;0.0;0.2;0.0;0.0;0.0;0.1;0.4
"684 Rauma";100.0;37.1;19.2;17.2;10.5;6.3;5.9;0.2;2.6;0.0;0.2;0.1;0.0;0.1;0.0;0.1;0.0;0.0;0.0;0.0;0.3
"747 Siikainen";100.0;18.6;32.3;3.8;32.7;3.1;3.8;0.2;4.7;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3
"783 Säkylä";100.0;21.3;18.7;10.4;35.5;3.7;6.9;0.0;1.6;0.0;0.1;0.2;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.1;1.3
"886 Ulvila";100.0;23.5;24.7;16.0;13.0;5.8;12.7;0.1;2.9;0.0;0.2;0.2;0.0;0.3;0.0;0.1;0.0;0.0;0.0;0.0;0.3
"06 Hämeen vaalipiiri";100.0;24.0;21.0;19.2;10.2;8.4;7.4;0.2;5.7;0.4;0.5;0.5;0.0;0.1;0.2;0.0;0.0;0.0;0.2;0.1;2.0
"016 Asikkala";100.0;13.0;22.4;13.2;24.2;12.8;4.1;0.2;6.6;0.3;0.2;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;2.5
"061 Forssa";100.0;36.9;17.1;15.8;10.6;4.5;7.5;0.1;3.6;0.2;0.6;1.5;0.1;0.1;0.1;0.0;0.0;0.0;0.1;0.1;1.1
"081 Hartola";100.0;16.5;20.1;14.6;26.6;9.1;4.5;0.1;5.9;0.3;0.4;0.8;0.0;0.0;0.1;0.0;0.0;0.0;0.1;0.1;0.9
"082 Hattula";100.0;27.1;19.6;20.4;9.5;6.6;7.2;0.1;5.6;0.5;0.3;0.5;0.0;0.0;0.1;0.0;0.0;0.0;0.1;0.1;2.2
"086 Hausjärvi";100.0;19.0;24.5;16.8;12.5;6.0;10.2;0.1;6.7;0.4;0.3;0.5;0.0;0.1;0.2;0.0;0.0;0.0;0.1;0.2;2.2
"098 Hollola";100.0;18.9;23.7;21.8;12.9;7.3;4.8;0.2;7.1;0.4;0.4;0.4;0.0;0.0;0.1;0.0;0.0;0.0;0.1;0.0;1.8
"103 Humppila";100.0;25.7;18.4;12.0;22.8;4.9;7.9;0.2;3.1;0.3;0.5;2.7;0.1;0.1;0.0;0.0;0.0;0.0;0.2;0.2;0.9
"109 Hämeenlinna";100.0;24.5;19.6;21.4;7.9;10.2;6.6;0.2;5.5;0.5;0.5;0.3;0.1;0.1;0.2;0.0;0.0;0.0;0.1;0.1;2.2
"111 Heinola";100.0;28.4;22.0;16.8;9.2;5.8;5.3;0.2;7.1;0.4;0.3;0.4;0.0;0.1;0.1;0.0;0.0;0.0;0.2;0.2;3.4
"165 Janakkala";100.0;24.8;21.3;16.5;13.4;8.0;8.2;0.3;3.9;0.5;0.4;0.3;0.0;0.0;0.2;0.0;0.0;0.0;0.2;0.1;1.9
"169 Jokioinen";100.0;26.4;17.9;10.9;20.0;4.9;13.2;0.2;2.6;0.2;0.5;2.0;0.1;0.0;0.1;0.0;0.0;0.0;0.1;0.1;0.9
"316 Kärkölä";100.0;20.8;27.2;18.4;13.9;5.0;7.0;0.4;3.7;0.4;0.2;0.6;0.0;0.0;0.2;0.0;0.0;0.0;0.1;0.2;1.7
"398 Lahti";100.0;25.2;21.0;20.0;6.5;10.0;6.9;0.3;6.1;0.4;0.6;0.4;0.0;0.1;0.2;0.0;0.0;0.0;0.2;0.1;2.1
"433 Loppi";100.0;18.1;20.9;22.2;18.2;5.1;8.7;0.1;3.4;0.4;0.2;0.6;0.0;0.1;0.1;0.0;0.0;0.0;0.2;0.1;1.6
"560 Orimattila";100.0;17.3;27.6;19.6;15.2;6.1;5.6;0.4;4.6;0.5;0.4;0.4;0.0;0.1;0.1;0.0;0.0;0.0;0.2;0.0;1.9
"576 Padasjoki";100.0;25.9;20.8;18.6;13.9;5.6;4.4;0.4;7.3;0.6;0.1;0.6;0.1;0.1;0.1;0.0;0.0;0.0;0.1;0.4;1.1
"694 Riihimäki";100.0;20.9;19.6;18.2;5.0;8.5;16.1;0.3;7.7;0.4;0.6;0.4;0.1;0.1;0.2;0.0;0.0;0.0;0.1;0.1;1.7
"781 Sysmä";100.0;18.8;20.3;17.8;27.6;5.7;3.1;0.1;3.9;0.6;0.2;0.5;0.0;0.1;0.0;0.0;0.0;0.0;0.2;0.0;1.2
"834 Tammela";100.0;25.6;19.0;17.4;21.7;4.6;4.9;0.3;3.2;0.3;0.4;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.1;0.8
"981 Ypäjä";100.0;17.2;21.0;15.0;27.9;5.4;7.0;0.0;2.4;0.5;0.4;1.2;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.1;1.9
"07 Pirkanmaan vaalipiiri";100.0;22.1;17.3;18.5;8.9;12.4;8.1;0.1;5.7;1.1;0.7;0.5;1.0;0.2;0.2;0.2;0.2;0.2;0.1;0.0;2.4
"020 Akaa";100.0;28.5;20.0;16.7;7.6;7.9;7.5;0.1;4.6;1.3;0.3;0.4;1.5;0.2;0.4;0.2;0.2;0.3;0.1;0.1;2.2
"108 Hämeenkyrö";100.0;19.5;22.4;12.2;22.0;4.9;8.1;0.0;5.0;0.8;0.1;0.8;1.7;0.1;0.1;0.2;0.2;0.1;0.1;0.0;1.6
"143 Ikaalinen";100.0;20.0;20.9;12.6;21.3;4.9;5.1;0.1;10.0;1.0;0.3;0.4;1.0;0.1;0.0;0.2;0.3;0.2;0.0;0.1;1.3
"177 Juupajoki";100.0;23.0;22.2;9.1;25.4;4.9;5.0;0.0;5.2;0.7;0.2;0.3;1.0;0.2;0.0;0.2;0.2;0.1;0.1;0.0;2.3
"211 Kangasala";100.0;21.7;19.1;20.9;8.3;10.5;5.6;0.1;7.4;0.9;0.4;0.5;1.0;0.1;0.1;0.2;0.2;0.2;0.1;0.0;2.8
"250 Kihniö";100.0;11.6;22.5;5.3;27.3;1.7;1.5;0.0;25.3;0.8;0.3;0.8;1.0;0.3;0.0;0.3;0.0;0.4;0.0;0.0;0.9
"418 Lempäälä";100.0;18.8;18.5;22.9;9.5;11.1;6.0;0.1;7.0;1.2;0.4;0.3;1.0;0.1;0.1;0.1;0.1;0.2;0.0;0.0;2.6
"508 Mänttä-Vilppula";100.0;30.4;20.7;6.5;23.0;4.0;5.9;0.1;4.1;0.5;0.3;0.5;1.4;0.1;0.1;0.2;0.1;0.2;0.1;0.0;1.8
"536 Nokia";100.0;23.9;17.9;15.5;5.3;10.7;14.0;0.1;4.2;0.8;0.4;0.4;2.9;0.1;0.1;0.9;0.4;0.2;0.0;0.0;2.2
"562 Orivesi";100.0;22.1;22.9;13.1;17.6;5.9;5.9;0.1;6.6;1.2;0.3;0.5;0.7;0.2;0.1;0.1;0.1;0.2;0.0;0.1;2.2
"581 Parkano";100.0;13.1;15.2;5.0;11.5;2.0;3.0;0.0;46.5;1.2;0.1;0.7;0.7;0.1;0.0;0.1;0.1;0.3;0.0;0.0;0.5
"604 Pirkkala";100.0;22.8;16.4;26.2;5.5;11.8;4.6;0.1;5.6;0.9;0.3;1.1;0.7;0.2;0.2;0.1;0.1;0.1;0.1;0.0;3.2
"619 Punkalaidun";100.0;20.1;16.6;13.9;27.7;2.0;4.1;0.1;1.8;10.5;0.1;0.9;0.3;0.1;0.1;0.3;0.1;0.3;0.4;0.0;0.7
"635 Pälkäne";100.0;19.1;19.5;21.3;14.0;7.4;5.4;0.1;6.1;1.2;0.2;0.6;1.2;0.2;0.1;0.1;0.2;0.1;0.2;0.1;2.9
"702 Ruovesi";100.0;20.1;17.1;11.6;27.1;3.5;8.1;0.0;3.8;0.8;0.3;1.5;2.2;0.1;0.1;0.1;0.1;0.3;0.0;0.0;3.2
"790 Sastamala";100.0;28.2;16.8;15.8;19.4;3.8;6.1;0.0;5.4;0.7;0.2;0.3;1.5;0.1;0.1;0.1;0.1;0.2;0.0;0.0;1.1
"837 Tampere";100.0;21.2;14.9;20.0;4.9;17.4;9.4;0.1;4.8;1.2;1.1;0.4;0.5;0.3;0.4;0.2;0.2;0.2;0.1;0.0;2.7
"887 Urjala";100.0;21.7;22.2;12.1;28.6;3.5;4.0;0.2;2.3;0.9;0.2;0.4;1.7;0.1;0.1;0.3;0.0;0.2;0.1;0.1;1.5
"908 Valkeakoski";100.0;30.4;20.5;20.8;4.9;6.8;7.0;0.1;3.8;1.6;0.4;0.4;0.7;0.1;0.2;0.2;0.1;0.2;0.1;0.1;1.6
"922 Vesilahti";100.0;14.7;19.9;15.3;25.3;9.9;3.9;0.1;5.6;0.8;0.2;0.4;0.9;0.0;0.1;0.1;0.3;0.2;0.2;0.0;2.3
"936 Virrat";100.0;18.8;16.5;10.0;31.0;3.7;8.5;0.0;6.9;0.3;0.1;1.0;1.7;0.0;0.0;0.1;0.0;0.2;0.1;0.0;1.0
"980 Ylöjärvi";100.0;20.6;23.8;17.7;9.0;9.5;6.9;0.1;5.2;1.1;0.3;0.5;2.0;0.1;0.1;0.3;0.2;0.2;0.0;0.0;2.5
"08 Kaakkois-Suomen vaalipiiri";100.0;24.4;18.9;18.1;16.6;9.4;4.2;0.0;4.4;1.3;0.3;0.3;0.2;0.1;0.0;0.0;0.0;0.0;0.1;0.0;1.6
"046 Enonkoski";100.0;26.0;14.6;10.0;34.1;4.8;1.7;0.0;6.3;0.7;0.1;0.5;0.2;0.1;0.0;0.2;0.0;0.0;0.2;0.0;0.4
"075 Hamina";100.0;21.7;24.6;18.3;13.4;7.9;5.4;0.0;5.3;0.8;0.2;0.4;0.2;0.0;0.0;0.0;0.0;0.0;0.1;0.0;1.6
"090 Heinävesi";100.0;22.5;14.6;12.0;28.8;6.9;3.4;0.0;4.8;0.8;0.1;0.6;0.2;0.1;0.0;0.1;0.0;0.0;0.1;0.0;5.0
"097 Hirvensalmi";100.0;16.1;13.9;20.2;32.5;5.4;1.7;0.0;2.8;6.1;0.0;0.3;0.2;0.1;0.0;0.0;0.0;0.0;0.2;0.0;0.6
"142 Iitti";100.0;28.9;18.0;11.6;27.7;4.5;2.4;0.0;2.4;1.0;0.1;1.1;0.1;0.0;0.0;0.1;0.0;0.0;0.1;0.0;1.9
"153 Imatra";100.0;40.8;18.7;15.1;7.9;7.4;3.2;0.0;2.8;1.8;0.2;0.2;0.2;0.2;0.0;0.1;0.0;0.0;0.0;0.0;1.5
"171 Joroinen";100.0;21.9;17.4;8.9;33.3;6.8;3.9;0.0;4.0;1.1;0.1;0.9;0.2;0.1;0.0;0.0;0.0;0.0;0.1;0.0;1.3
"178 Juva";100.0;15.2;17.8;12.9;35.7;5.9;2.1;0.0;8.5;0.5;0.2;0.2;0.1;0.1;0.0;0.1;0.0;0.1;0.1;0.0;0.7
"213 Kangasniemi";100.0;16.9;15.2;10.2;32.8;14.5;1.9;0.0;4.9;1.2;0.2;0.8;0.1;0.0;0.0;0.0;0.0;0.0;0.1;0.0;1.0
"285 Kotka";100.0;29.0;23.0;17.6;3.7;9.2;9.6;0.0;3.6;0.9;0.3;0.2;0.4;0.1;0.0;0.1;0.0;0.0;0.0;0.1;2.2
"286 Kouvola";100.0;23.1;19.3;18.9;13.0;9.2;5.2;0.0;5.9;2.5;0.4;0.3;0.2;0.1;0.0;0.0;0.0;0.0;0.1;0.0;1.7
"405 Lappeenranta";100.0;24.8;18.8;19.5;12.8;13.2;3.2;0.0;3.6;1.2;0.4;0.2;0.1;0.1;0.0;0.0;0.0;0.0;0.0;0.1;1.9
"416 Lemi";100.0;15.9;24.1;13.3;28.5;7.3;1.0;0.0;5.1;1.7;0.2;0.3;0.2;0.1;0.0;0.1;0.0;0.1;0.1;0.1;2.0
"441 Luumäki";100.0;18.1;18.1;18.8;27.6;6.3;1.5;0.0;5.8;1.1;0.1;0.3;0.2;0.1;0.0;0.1;0.0;0.0;0.0;0.0;1.8
"489 Miehikkälä";100.0;10.6;16.3;23.5;39.5;2.6;1.3;0.0;4.1;0.5;0.3;0.5;0.3;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.5
"491 Mikkeli";100.0;19.6;16.7;23.6;17.7;12.2;2.3;0.0;3.9;0.9;0.3;0.3;0.2;0.1;0.0;0.1;0.0;0.0;0.0;0.0;2.1
"507 Mäntyharju";100.0;12.7;22.2;27.7;23.8;5.9;2.1;0.0;3.2;0.7;0.1;0.3;0.3;0.1;0.0;0.2;0.0;0.0;0.0;0.0;0.9
"580 Parikkala";100.0;15.3;17.5;12.2;39.0;4.8;2.2;0.0;5.7;1.2;0.2;0.6;0.1;0.1;0.0;0.0;0.0;0.0;0.2;0.0;0.8
"588 Pertunmaa";100.0;9.1;16.9;10.9;46.7;3.7;3.8;0.0;2.4;0.7;0.0;2.9;0.4;0.0;0.0;0.0;0.0;0.1;0.3;0.1;1.9
"593 Pieksämäki";100.0;24.7;18.6;9.1;27.2;6.7;6.3;0.0;4.3;1.0;0.2;0.3;0.2;0.1;0.0;0.0;0.0;0.0;0.0;0.0;1.1
"623 Puumala";100.0;9.7;9.3;6.9;63.4;3.3;1.6;0.0;4.6;0.6;0.1;0.2;0.0;0.1;0.0;0.1;0.0;0.0;0.0;0.0;0.3
"624 Pyhtää";100.0;25.4;20.2;19.1;15.5;7.2;5.9;0.0;2.5;0.7;0.4;0.4;0.2;0.0;0.0;0.0;0.0;0.1;0.0;0.0;2.5
"681 Rantasalmi";100.0;20.9;13.3;13.3;37.6;5.9;3.1;0.0;3.1;0.5;0.1;0.9;0.1;0.1;0.0;0.1;0.0;0.0;0.2;0.1;0.8
